name,Age,G,GS,MP,FG,FGA,FG_Per,threeP,threePA,threeP_Perc,twoP,twoPA,twoP_Per,eFG_Per,FT,FTA,FT_Per,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS_Game,Salary
Gary Payton,24,6,0,16.5,1.3,3.7,0.364,0.2,1.5,0.111,1.2,2.2,0.538,0.386,0.5,0.8,0.6,0,2,2,2.2,0.5,0.7,1.7,1.5,3.3,224
Paul Pierce,39,25,7,11.1,1.1,2.8,0.4,0.6,1.7,0.349,0.5,1.1,0.481,0.507,0.4,0.5,0.769,0,1.9,1.9,0.4,0.2,0.2,0.6,1.6,3.2,1047
Marshall Plumlee,24,21,1,8.1,0.8,1.4,0.533,0,0,0,0.8,1.4,0.533,0.533,0.4,0.9,0.421,1.1,1.3,2.4,0.5,0.2,0.2,0.6,1.1,1.9,316
Mason Plumlee,26,81,64,26.5,4.1,7.7,0.536,0,0.1,0,4.1,7.6,0.541,0.536,2.1,3.7,0.58,2.1,5.4,7.5,3.5,0.9,1.1,1.7,2.8,10.4,3747
Miles Plumlee,28,45,12,10.8,1,2,0.478,0,0,0,1,2,0.478,0.478,0.6,0.9,0.641,0.8,1.3,2.1,0.5,0.4,0.3,0.7,1.6,2.5,3536
Jakob Poeltl,21,54,4,11.6,1.2,2.1,0.583,0,0,0,1.2,2.1,0.583,0.583,0.6,1.1,0.544,1.4,1.6,3.1,0.2,0.3,0.4,0.5,2.1,3.1,1681
Otto Porter,23,80,80,32.6,5.2,10,0.516,1.9,4.3,0.434,3.3,5.8,0.576,0.608,1.2,1.5,0.832,1.5,5,6.4,1.5,1.5,0.5,0.6,2.4,13.4,4977
Bobby Portis,21,64,13,15.6,2.9,5.9,0.488,0.5,1.5,0.333,2.4,4.4,0.541,0.531,0.6,0.9,0.661,1.2,3.5,4.6,0.5,0.3,0.2,0.6,1.5,6.8,1231
Kristaps Porzingis,21,66,65,32.8,6.7,14.9,0.45,1.7,4.8,0.357,5,10.2,0.493,0.507,3,3.8,0.786,1.7,5.5,7.2,1.5,0.7,2,1.8,3.7,18.1,2122
Dwight Powell,25,77,3,17.3,2.5,4.9,0.515,0.3,1,0.284,2.2,3.9,0.571,0.542,1.4,1.8,0.759,1.2,2.8,4,0.6,0.8,0.5,0.4,1.8,6.7,3001
Norman Powell,23,76,18,18,3,6.7,0.449,0.7,2.3,0.324,2.3,4.4,0.514,0.504,1.7,2.1,0.792,0.3,1.9,2.2,1.1,0.7,0.2,0.9,1.7,8.4,1213
Alex Poythress,23,6,1,26.2,4.2,9,0.463,1,3.2,0.316,3.2,5.8,0.543,0.519,1.3,1.7,0.8,1.8,3,4.8,0.8,0.5,0.3,0.5,2.3,10.7,882
Ronnie Price,33,14,0,9.6,0.3,1.7,0.167,0.2,1.2,0.176,0.1,0.5,0.143,0.229,0.2,0.3,0.75,0.2,0.6,0.8,1.3,0.8,0.1,0.2,1,1,1563
Tim Quarterman,22,16,0,5,0.8,1.8,0.448,0.3,0.8,0.385,0.5,1,0.5,0.534,0,0.2,0,0.3,0.6,0.9,0.7,0.1,0.2,0.7,0.4,1.9,1994
Chasson Randle,23,26,0,11.5,1.5,3.8,0.408,0.6,1.8,0.34,0.9,2,0.471,0.49,1.6,1.7,0.953,0.2,1,1.2,1.3,0.3,0.1,0.7,1.5,5.3,1146
Julius Randle,22,74,73,28.8,5.1,10.4,0.488,0.2,0.9,0.27,4.9,9.6,0.507,0.499,2.8,3.8,0.723,2,6.6,8.6,3.6,0.7,0.5,2.3,3.4,13.2,2037
Zach Randolph,35,73,5,24.5,5.9,13.2,0.449,0.3,1.3,0.223,5.6,11.9,0.474,0.46,1.9,2.6,0.731,2.5,5.7,8.2,1.7,0.5,0.1,1.4,1.9,14.1,3508
J.J. Redick,32,78,78,28.2,5.1,11.4,0.445,2.6,6,0.429,2.5,5.4,0.462,0.558,2.3,2.6,0.891,0.1,2.1,2.2,1.4,0.7,0.2,1.3,1.6,15,4796
Willie Reed,26,71,5,14.5,2.3,4,0.568,0,0.1,0.25,2.3,4,0.573,0.57,0.7,1.2,0.557,1.8,2.9,4.7,0.4,0.3,0.7,0.4,1.9,5.3,1256
Josh Richardson,23,53,34,30.5,3.8,9.7,0.394,1.4,4.3,0.33,2.4,5.4,0.444,0.467,1.1,1.5,0.779,0.7,2.5,3.2,2.6,1.1,0.7,1.2,2.5,10.2,1213
Malachi Richardson,21,22,0,9,1.3,3.1,0.412,0.4,1.3,0.286,0.9,1.8,0.5,0.471,0.7,0.9,0.789,0.1,0.9,1,0.5,0.2,0,0.4,1,3.6,1227
Austin Rivers,24,74,29,27.8,4.4,9.9,0.442,1.5,4,0.371,2.9,5.8,0.491,0.518,1.8,2.6,0.691,0.3,1.9,2.2,2.8,0.6,0.1,1.6,2.5,12,3439
